First Name,Last Name,Email,First Seen,Original Source Type,Original Source Data 1,Original Source Data 2
John,John,sample@gmail.com,2023-05-19,Organic Search,Unknown keywords (SSL),Bing
Bruce,Lug,sample@gmail.com,2022-12-07,Social Media,LinkedIn,Unknown
Jason,Close,sample@gmail.com,2022-03-07,Organic Search,Unknown keywords (SSL),Bing
Mark,Doe,sample@gmail.com,2022-11-10,Referrals,victechjournal.com,www.victechjournal.com/
Matthew,Test,sample@gmail.com,2021-12-10,Direct Traffic,www.intlabs.io/,Unknown
Alex,Popa,sample@gmail.com,2023-01-14,Direct Traffic,www.intlabs.io/,Unknown
Dan,Wood,sample@gmail.com,2022-06-21,Social Media,LinkedIn,Unknown
Anthony,Hu,sample@gmail.com,2022-11-25,Organic Search,Unknown keywords (SSL),Google
Bill,Leta,sample@gmail.com,2022-11-10,Referrals,victechjournal.com,www.victechjournal.com/
Jordan,Parsons,sample@gmail.com,2022-03-03,Social Media,LinkedIn,Unknown
Ron,Duke,sample@gmail.com,2022-07-04,Social Media,LinkedIn,Unknown
Steven,Jones,sample@gmail.com,2022-11-10,Social Media,LinkedIn,Unknown
Mike,Priebe,sample@gmail.com,2022-06-28,Social Media,LinkedIn,Unknown
Gord,Kagel,sample@gmail.com,2022-08-17,Social Media,LinkedIn,Unknown
Scott,Please,sample@gmail.com,2022-06-21,Social Media,LinkedIn,Unknown
Jens,Norman,sample@gmail.com,2022-11-10,Referrals,victechjournal.com,www.victechjournal.com/
Rod,C M,sample@gmail.com,2023-02-15,Organic Search,Unknown keywords (SSL),Google
Mark,Trevitt,sample@gmail.com,2022-11-16,Social Media,LinkedIn,Unknown
Jamie,Ride,sample@gmail.com,2022-06-21,Social Media,LinkedIn,Unknown
,,,,,,
Total Contacts: 19,,,,,,
,,,,,,
Exported by karl@intlabs.io,,,,,,
Generated on 09/16/23,,,,,,
Date range: 01/01/06 - 09/16/23,,,,,,
